idstr,result,success
bcqrjbgirvscjfcncrizmnwpxaliqu,71,True
bcszjvhpijtzkgqlletufapbmbwgoe,39,True
bctuwkvvydqslpftfaeldtjdnxdott,65,True
bcukioqlnepyzojdomqjftyzafwrkn,75,True
bcwkqkowywzioneigqrtjddfabkdcq,68,True
bcwyqunfaaojretdwbwbvrkmnepgdo,147,True
bdbatippcmhqhifoazsitqclqjkfrh,82,True
bdbhtwkfzqvqkhjcrnnfytmcivguua,39,True
bdddflapnjxjcsegnpafezmhdhckyb,109,True
bddqwhxdhcvyhlnbwwebkudiugoakn,30,True
bdgegahlexahhtapgctqebuolsvlfr,53,True
bdgsgjhbvszmghwbewhkkdcazqmrrn,37,True
bdhgafnryxccedwwapondfnvuklxkh,37,True
bdjalayrgykdoacevetsbngncmvfad,60,True
bdlfmwcmmohabrsflbmbikpxxbyhsn,34,True
bdmpptlmmigkjtyxjkfwbqhsjcdflt,40,True
bdmvfzobcgwvvwknflfewiylnwaadk,36,True
bdmzbbcpitsttuvgznptozbuzyipry,45,True
bdqqiluxwepkuhkrqckhybeikwnhtx,54,True
bduvloboggmguwiesarreojssbhdup,32,True
bdwuhcypmrqofipfflczqivqhyoyat,54,True
bdytfcsinpwtxlznnrtciubmfjjiib,65,True
bdytydrgsvzrfzzfythpkupzwwqsbk,84,True
bdzydyscunrfjrcusvtjzxsdyghvfg,95,True
beaplkrcebtjhvwzwljopahqhekzot,32,True
beasfnnnzzjxdfuhwaqqegcdlarsrs,74,True
beazsslywmarbtbbqilripwnegjhnf,84,True
bedujlpacvylakwecgjxgnhiwwbmid,80,True
bemnvpbumxlfuyqpdmrjkeuclplewc,57,True
beqvgspgbukhojopbjgpqrxkkdcifb,45,True
bestpibtrbggtwsoifkqmsrnjgtkyc,60,True
beutqjyjsunnrwlluzocypodllgycm,54,True
beuzptrsalrzcfndbawdyyrslnspfa,51,True
bexgdhfbotaefntsewfersclnzzinw,163,True
bexxxlcawzhfmrapdmjgzkrmcrbyyg,82,True
beydsulfzkozwuqfthpoqlgcizdvdr,32,True
bfbetcydwjnqyfgbhxnqnmvafqirpw,54,True
bfcnsjndrwvboeupulytrpshgsvddx,121,True
bfcropljxxgcvfxwdrzylycduymrfp,37,True
bfdjgrvxgojiwnakwxhsgriqcxsied,38,True
bfezaaliqcxyyakvlfdlyycfxwebzn,86,True
bfgmesmcznhjlhyivkfpaqmmmxtyjg,61,True
bfjyrogfzffiomahhhnnltvbfuczqc,61,True
bfmdqaseqcjrcuokwrihnkfdbdbhtc,95,True
bfpmwoailqhynshpioyclrxilobjzu,26,True
bfqurfdnhykvkhmxcherliteimizxi,128,True
bfqxatweczlgvfnypowkiqalyzfhpl,106,True
bfrqdovqfgmpgnzewspkfsahqvjyzz,74,True
bfumysmiaqsscpnskwkiqugnvwxihf,62,True
bfurjreifitcrklfngciyklmysxiyl,63,True
bfxzhkljssvwqcwydduwttdefbqzsj,38,True
bgbtctbbxlfplyebprxjrqulpjhtmg,34,True
bgbuohvrzrahsbcmgoayirocyvgscl,39,True
bgccfpwhlxurejnnbqvtuuccxyzqpb,37,True
bgcdiddtumscekrgpjfcjzoqocdrww,45,True
bgchrfvecuqorivekmgvtzeenxjcrf,29,True
bgcqtmmofknmolmseazgtzkpvyodwc,56,True
bgfmuthvsqjkqvdryianhztifdamcf,35,True
bggfuvafkwnqsviqdmkbdllrgkwpxn,39,True
bggviadzpqmltzkynuvqtxeqfgyrcm,48,True
bghkppendpubazvczqikvujiehlkuh,36,True
bgiivffzoaokgxmybgerakhydblfsp,58,True
bgkfeekyuttsfstxfadkescatjwwfg,68,True
